time,open,high,low,close,Volume,Volume MA
2017-05-08T00:00:00Z,1554.38,1892,1554.38,1784,94671.97949056001,62327.25328486655
2017-05-15T00:00:00Z,1782.3,2063.11,1641.22,2017.55,93126.14311167001,64353.690471148046
2017-05-22T00:00:00Z,2017.55,2760.1,1850,2178.81,155768.45194677,65605.70015093306
2017-05-29T00:00:00Z,2172.54,2584.34,2110,2530.27,93043.44403407,65616.56156930455
2017-06-05T00:00:00Z,2530.27,2967.46,2525.28,2954.22,93979.26297278001,67296.19670055906
2017-06-12T00:00:00Z,2954.23,2980,2120,2516.98,148795.79374539998,73198.01675623555
2017-06-19T00:00:00Z,2516.98,2789,2432,2502.03,84989.14520239,75001.73549230355
2017-06-26T00:00:00Z,2502.26,2594.78,2291,2504.37,88202.38791121001,76253.76612381656
2017-07-03T00:00:00Z,2504.81,2639.47,2462,2502.28,59904.36464813,77584.87166918606
2017-07-10T00:00:00Z,2504,2527.88,1830,1917.63,114603.96642805998,80070.15322284607
2017-07-17T00:00:00Z,1917.72,2938,1910.57,2749.02,144460.87969896002,85210.85744365808
2017-07-24T00:00:00Z,2756.8,2825,2400,2742.37,95398.49285979001,85653.80546608508
2017-07-31T00:00:00Z,2745.76,3339.66,2615,3222.75,70478.58583209,85241.08528774357
2017-08-07T00:00:00Z,3216.78,4190,3178.72,4053.87,91259.76614428,85930.54682051808
2017-08-14T00:00:00Z,4053.87,4480,3800,4058.68,106015.99573945,88197.34477744008
2017-08-21T00:00:00Z,4058.64,4449.98,3600,4337.68,79305.31569954,89852.2566911401
2017-08-28T00:00:00Z,4329.91,4979.9,4169.01,4606.26,81722.33065185,92374.94264769259
2017-09-04T00:00:00Z,4603.68,4679.97,4001.93,4226.22,120234.19455683,96739.1150436971
2017-09-11T00:00:00Z,4226.21,4377.65,2972.01,3662.99,190649.19788804997,104300.9771421931
2017-09-18T00:00:00Z,3662.95,4122.7,3514,3664.22,93688.94717086,105014.9322866371
2017-09-25T00:00:00Z,3667.01,4377.22,3658.39,4377.22,76596.22231939001,104111.14442807858
2017-10-02T00:00:00Z,4369.33,4612,4137.96,4597.98,60774.351238810006,102493.55483443559
2017-10-09T00:00:00Z,4597.97,5846.43,4541,5679.7,102154.07757071001,99812.83611563258
2017-10-16T00:00:00Z,5683.92,6180,5101.36,5969,89751.55898138002,99648.24186299808
2017-10-23T00:00:00Z,5967.38,6316.85,5366,6137.37,90679.39483727001,99483.24845622259
2017-10-30T00:00:00Z,6133.01,7590,6024.03,7372.72,96898.05082758,96888.36131033159
2017-11-06T00:00:00Z,7373.3,7888,5555.55,5870.37,149308.51562304999,100104.3298313646
2017-11-13T00:00:00Z,5870.03,8087.35,5846,8016.58,108764.32010924,101132.4264412661
2017-11-20T00:00:00Z,8016.58,9366.6,7770,9271.06,70679.21429019999,101671.1689233696
2017-11-27T00:00:00Z,9278.99,11800.01,9000,11250,123566.89997717002,102119.3156008251
2017-12-04T00:00:00Z,11250,16666.66,10850,14691,131326.74450438,101462.60884109608
2017-12-11T00:00:00Z,14690.99,19666,14677.19,18953,99156.70350496001,101650.51937335459
2017-12-18T00:00:00Z,18953,19220,11159.93,14157.87,185506.94820202002,107401.93749185109
2017-12-25T00:00:00Z,14107.87,16480.52,12050,13880,105655.47664079002,108121.72301667658
2018-01-01T00:00:00Z,13880,17234.99,12801.38,16124.02,85618.44777872,107101.8456186401
2018-01-08T00:00:00Z,16173.98,16300,12800,13647.99,97200.21280593,107996.5904739596
2018-01-15T00:00:00Z,13647.99,14394.36,9222,11558.87,146905.07956877,111255.72791980559
2018-01-22T00:00:00Z,11558.87,11989.15,9927.54,11685.58,91513.06537417001,109819.67146067259
2018-01-29T00:00:00Z,11685.58,11820.01,7625.25,8191,149903.6314201,107782.39313727508
2018-02-05T00:00:00Z,8190.78,9090.8,5920.72,8067,218693.54381938005,114032.6229697011
2018-02-12T00:00:00Z,8077.25,11300,8067,10421.06,108881.53022749,115646.8883651061
2018-02-19T00:00:00Z,10433.68,11780,9260,9590.04,108623.50575304999,118039.3460908181
2018-02-26T00:00:00Z,9595.99,11511,9376.34,11463.27,69483.63177713001,116405.82380113911
2018-03-05T00:00:00Z,11479.68,11688,8366,9535.04,131615.3328438,118499.01249426013
2018-03-12T00:00:00Z,9535.04,9892,7325.37,8188.24,122425.7834206,120086.33192342662
2018-03-19T00:00:00Z,8205.55,9188.1,8114.17,8453.9,90177.22105199998,119750.29043464761
2018-03-26T00:00:00Z,8451.12,8500,6427.16,6813.52,119382.4103937,118253.98517318012
2018-04-02T00:00:00Z,6816.31,7506.84,6510,7027.26,77901.59809296,116710.84907236614
2018-04-09T00:00:00Z,7027.26,8417,6611.49,8354.22,77527.21424147,117053.24906992966
2018-04-16T00:00:00Z,8353.43,9036.52,7806.81,8789.96,79550.1874566,114852.41344390115
2018-04-23T00:00:00Z,8781.7,9755.53,8647.29,9393.99,121700.13515290001,114371.08297632716
2018-04-30T00:00:00Z,9396.32,9948.98,8815.91,9623.54,65354.660762839994,112680.98083922116
2018-05-07T00:00:00Z,9621.99,9634.5,8208.81,8696.58,93852.55148299,108098.26100326965
2018-05-14T00:00:00Z,8696.54,8900.9,7929.53,8518.48,68487.69967444,106239.87215495214
2018-05-21T00:00:00Z,8518.64,8589.1,7213.09,7347.39,61787.165831189996,105048.30805757565
2018-05-28T00:00:00Z,7348.64,7790.69,7026.9,7703.67,49415.232808090004,102659.05905768365
