time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA
1611705600,32521.65,32580.12,29150.49,30424.62,33143.84099999998,20224.13734374999,29433.061800000003,35458.23904761907,16846.06394999999,22403.70666206,13786.276413004574
1611792000,30427.34,33870.58,29899.99,33484.87,32830.63299999998,20403.438593749994,29731.6264,35171.30476190479,16966.957449999987,17879.35697563,13571.046674669575
1611878400,33488.66,38620,31990,34249.64,32663.83499999998,20591.06531249999,30051.6132,34865.712857142884,17092.040149999986,31439.61903418,14716.235260742575
1611964800,34265.71,34931.39,32860,34323,32546.443999999978,20775.27609374999,30377.2728,34583.99571428574,17217.39719999999,7281.28566632,14269.349673798575
1612051200,34300.19,34380.21,32193.7,33141.38,32778.76399999998,20950.678984374994,30663.7878,34344.36000000002,17337.153749999987,4750.12315608,12467.507618886075
1612137600,33110.32,34736.1,32333.01,33532.74,32832.83199999998,21128.832499999993,30951.1954,34252.79619047622,17459.153099999985,8374.05662032,11972.816727398575
1612224000,33497.16,36008.67,33431.67,35522.16,33173.29899999998,21322.125468749993,31276.152,34323.61238095241,17590.981399999986,7225.86501969,11650.990870252575
1612310400,35496.91,37732.87,35382.45,37691.63,33713.578999999976,21533.079765624992,31641.2872,34337.80952380955,17733.55239999999,8777.33287657,11543.682277411073
1612396800,37693,38748.52,36197.65,36996.32,34187.08899999998,21737.45398437499,31953.8996,34235.9985714286,17872.474049999986,11762.80234811,11456.866531313575
1612483200,36984.28,38359.69,36618.36,38320,34768.63599999998,21952.624140624994,32264.0148,34310.44761904765,18018.261899999987,5211.97488137,11333.036140475075
1612569600,38320,41025.48,38230.81,39282.1,35654.38399999998,22176.525624999995,32586.933999999997,34466.73809523812,18167.71614999999,8635.66020711,11423.733522856073
1612656000,39274.8,39727.44,37412.93,38858.39,36191.735999999975,22397.461953124992,32887.242,34611.45904761908,18314.310549999987,5973.24016085,11409.834803828573
1612742400,38870.36,46712.12,38050.97,46416.45,37408.41699999997,22677.639999999992,33346.154,35078.101904761934,18498.306799999988,19053.71343569,12033.577563087074
1612828800,46445.51,48216.09,45000,46505.2,38626.63699999997,22957.605390624994,33821.6178,35582.27238095241,18683.093249999987,12505.08248337,12050.808310589075
1612915200,46493.9,47364.09,43746.06,44854.63,39797.96199999998,23223.696249999994,34242.0084,36027.87809523813,18858.81149999999,9483.3289564,11464.242695504076
1613001600,44854.63,48696.84,44040.96,47981.48,41242.835999999974,23515.689609374993,34736.6838,36845.17809523813,19048.995649999986,9390.81635484,11082.804340706074
1613088000,48044.88,49000,46231.16,47395.84,42430.203999999976,23802.61695312499,35210.075,37531.072380952406,19230.743899999987,5970.13590277,11118.523842451574
1613174400,47424.25,48220,46133,47228.48,43383.888999999974,24086.236328124993,35660.5416,38250.64333333336,19412.189949999985,4271.67215148,11099.171968744075
1613260800,47258.66,49714.66,47081.02,48662.5,44550.50699999997,24380.068359374993,36104.46599999999,39030.34190476193,19599.94659999999,5201.6939256,10857.318891480574
1613347200,48620.48,49048.82,45914.75,47942.57,45512.763999999974,24666.329062499994,36538.1254,39777.07285714288,19784.098849999988,6922.00560598,10625.673621221073
1613433600,47954.05,50602.53,47036.02,49166.53,46501.20699999997,24961.59156249999,36980.697799999994,40570.50142857145,19973.147799999988,8376.07608814,9924.292092525073
1613520000,49136.7,52640,48896.19,52174.28,47832.79599999997,25279.078281249993,37476.7834,41606.19952380955,20174.93174999999,9571.64796874,9508.906642180573
1613606400,52141.23,52566.98,50869.61,51579.54,48349.10499999997,25592.76234374999,37930.7482,42467.850476190506,20377.471149999987,6330.14291878,8253.432836410571
1613692800,51560.46,56399.99,50627.32,55988.58,49297.44299999997,25940.88531249999,38470.664,43503.03809523812,20601.232099999987,9229.78250415,8350.857678302073
1613779200,56000.59,57553.81,54000,55936.04,50405.58399999997,26287.955078124993,39001.331999999995,44532.2304761905,20824.95019999999,5187.25046252,8372.714043624072
1613865600,55919.75,58354.14,55537.99,57492.91,51356.72699999998,26648.66640624999,39506.859599999996,45691.82714285717,21053.63854999999,3562.96950963,8132.159688089572
1613952000,57485.74,57564.19,47400,54173.65,52034.50799999997,26983.102734374992,39928.376,46674.72761904764,21265.65639999999,17002.83273081,8621.008073645573
1614038400,54173.64,54196.58,44845.72,48887.93,52200.45299999997,27275.03992187499,40266.017,47311.19285714288,21452.091799999987,17766.39814895,9070.461337264573
1614124800,48927.33,51459.51,47000,49754,52309.602999999974,27571.83570312499,40580.316,47885.59142857145,21641.97729999999,8774.36674339,8921.039557028573
1614211200,49715.13,52079.16,46723,47088.58,52224.203999999976,27846.581562499992,40785.0888,48366.17523809527,21819.00504999999,7920.69294708,9056.475460314072
1614297600,47070.18,48476.62,44151.97,46314.83,51939.03399999997,28108.395312499993,40921.175599999995,48746.88142857146,21991.103599999988,8126.22740854,9031.003820385573
1614384000,46324.15,48365.31,45050,46109.98,51332.60399999998,28367.19781249999,41030.0338,49072.018571428605,22164.690299999987,3071.56836645,8885.920230665573
1614470400,46142.1,46659.88,43021,45240.96,50698.74599999997,28619.536640624992,41130.0718,49375.950476190505,22333.06834999999,6668.91811403,8266.680464582572
1614556800,45261.56,49831.52,45020.25,49629.33,50062.820999999974,28904.744453124993,41359.1838,49528.94476190479,22522.248699999993,8512.7594378,8067.064312304074
